index,name,genre,area,lat,lon,weekday_r,weekend_r,note,address,google_maps_url,hours_status
1,Chicken and papa fukuoka チキンアンドパパフクオカ,アメリカ料理,中央区 白金,33.5773488,130.4073227,"[""r(16, 0, 22, 0)""]","[""r(12, 0, 22, 0)""]",定休日: 水曜日,〒810-0012 福岡県福岡市中央区白金２丁目４−２７ 105,https://www.google.com/maps?cid=11006420118663988460&hl=ja,ok
2,チリ・ダイニング,メキシコ料理,博多区 上牟田,33.5842539,130.4361417,[],[],営業時間取得不可,〒812-0006 福岡県福岡市博多区上牟田３丁目７−１２ 福岡アーバンビル 1F,https://www.google.com/maps?cid=6811922074426853931&hl=ja,no_hours
3,肉焼 ハラミ タン テール 兼条,焼き肉,中央区 薬院,33.5819143,130.3976103,"[""r(17, 30, 23, 0)""]","[""r(17, 30, 23, 0)""]",,〒810-0022 福岡県福岡市中央区薬院１丁目１１−３ 福一第2ビル 1F,https://www.google.com/maps?cid=11030623985788968230&hl=ja,ok
4,もも焼き とり昇,居酒屋,中央区 春吉,33.5861233,130.4090995,"[""r(17, 0, 0, 0)""]","[""r(17, 0, 0, 0)""]",,〒810-0003 福岡県福岡市中央区春吉２丁目３−６,https://www.google.com/maps?cid=18006494587714166054&hl=ja,ok
5,欧風カレー 白山舎,カレー,早良区 小田部,33.5717832,130.3279843,"[""r(11, 0, 15, 30)"", ""r(17, 30, 21, 0)""]","[""r(11, 0, 15, 30)"", ""r(17, 30, 21, 0)""]",定休日: 月曜日,〒814-0032 福岡県福岡市早良区小田部６丁目１３−２０,https://www.google.com/maps?cid=4607361403053350583&hl=ja,ok
6,クボカリー薬院店 ビリヤニ堂,インド料理,中央区 薬院,33.583385,130.4007455,"[""r(11, 0, 15, 0)""]","[""r(11, 0, 15, 0)""]",定休日: 月曜日,〒810-0022 福岡県福岡市中央区薬院１丁目２−９ 東峰マンション薬院 104号室,https://www.google.com/maps?cid=14942517998007595853&hl=ja,ok
7,コチソバ,居酒屋,中央区 今泉,33.5869772,130.4006684,"[""r(11, 0, 22, 0)""]","[""r(11, 0, 22, 0)""]",定休日: 木曜日,〒810-0021 福岡県福岡市中央区今泉１丁目１２−２３ １F,https://www.google.com/maps?cid=7553215025134260779&hl=ja,ok
8,お好み焼 あさ山,お好み焼き,中央区 大名,33.5876668,130.3959559,"[""r(11, 30, 13, 40)"", ""r(18, 0, 21, 30)""]","[""r(11, 30, 13, 40)"", ""r(18, 0, 21, 30)""]",定休日: 水曜日・日曜日,〒810-0041 福岡県福岡市中央区大名１丁目１３−８,https://www.google.com/maps?cid=8663974505884127601&hl=ja,ok
9,須崎屋台かじしか,レストラン,博多区 奈良屋町,33.5987993,130.405394,"[""r(17, 30, 0, 0)""]","[""r(17, 30, 0, 0)""]",定休日: 日曜日,〒812-0023 福岡県福岡市博多区奈良屋町５−１４,https://www.google.com/maps?cid=9126534488334050422&hl=ja,ok
10,居酒屋仙八,居酒屋,中央区 薬院,33.5822297,130.3970638,"[""r(17, 0, 22, 0)"", ""r(17, 0, 23, 0)""]","[""r(17, 0, 22, 0)""]",定休日: 木曜日,〒810-0022 福岡県福岡市中央区薬院１丁目１２−１４ 居酒屋 仙八,https://www.google.com/maps?cid=2464637855223678174&hl=ja,ok
